"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-222",1.43608043180237,9.62687740339051,13.8509728429215,2.19664643039689e-37,4.43722578940172e-35,73.803672674866
"hsa-miR-221",0.948476414114327,7.77122214424667,12.5521398211667,9.02022053503574e-32,9.1104227403861e-30,60.9478159783837
"hsa-miR-34a",1.14912302914936,10.0523472484181,12.4001496454706,3.92405449504143e-31,2.6421966933279e-29,59.4863841668949
"hsa-miR-27a",0.678103622789818,10.1350080908729,11.6893803353333,3.33503424231033e-28,1.68419229236672e-26,52.7845732076986
"hsa-miR-204",1.30701146888005,8.52221962151713,10.5265075215438,1.24629117041025e-23,5.0350163284574e-22,42.3352769737197
"hsa-miR-152",0.649467320483732,7.82639420102624,10.4880055720221,1.74562931656708e-23,5.87695203244251e-22,42.0011623711245
"hsa-miR-23a",0.593097932476747,10.1487562968592,10.1674183817423,2.79911965926338e-22,8.07745958816005e-21,39.2504921245376
"hsa-miR-128b",-0.69415385890923,7.59646378527711,-10.010101192418,1.07019454903728e-21,2.70224123631912e-20,37.92157380918
"hsa-miR-17-5p",-0.613834135562218,9.0558785659241,-9.7913492480398,6.75081486252866e-21,1.51518289136754e-19,36.0971462913605
"hsa-miR-128a",-0.560664369866201,7.20020502127571,-9.74895843590279,9.61605884089179e-21,1.94244388586014e-19,35.7468051102908
"hsa-miR-155",0.73000643256281,8.50304588096693,9.71334914690836,1.29333977669513e-20,2.24384606694871e-19,35.4533231669849
"hsa-miR-340",-0.327095283172304,6.59129876293509,-9.70971723456782,1.33297786155369e-20,2.24384606694871e-19,35.4234317855686
"hsa-miR-34b",0.729735316943474,7.87405184658837,9.43088589963226,1.3224193783322e-19,2.05483626479312e-18,33.1519803875791
"hsa-miR-106a",-0.627102828642466,9.83019899868666,-9.40030184548137,1.69615816053396e-19,2.44731391734186e-18,32.9056742655564
"hsa-miR-22",0.571577904345462,11.4920878905065,9.31387423602729,3.41685814527267e-19,4.6013689689672e-18,32.2127160941452
"hsa-miR-130b",-0.635141266185608,8.58705671126785,-9.2452343987308,5.94016744803205e-19,7.49946140314046e-18,31.6656384904739
"hsa-miR-19b",-0.623916926634775,10.5988186014026,-9.222078134145,7.15391307372755e-19,8.50053200525274e-18,31.4817324343757
"hsa-miR-18a",-0.435649262861983,7.83595268078235,-8.96308264159755,5.59681937855272e-18,6.28087508037583e-17,29.4476081662912
"hsa-miR-146b",0.624493581079956,8.01146420694415,8.72640880321287,3.53577729421946e-17,3.67377450445358e-16,27.6260551778098
"hsa-miR-19a",-0.590611895856114,9.12137559577751,-8.722734713411,3.63740049945899e-17,3.67377450445358e-16,27.5980628033251
"hsa-miR-20a",-0.630787965195688,10.0116651432511,-8.54692402892781,1.3972361819777e-16,1.34400813694998e-15,26.2689143239129
"hsa-miR-138",-0.539311850061329,6.62369261421362,-8.44589536367656,3.00061305947729e-16,2.75510835461096e-15,25.51436367286
"hsa-miR-10b",-1.11077154317904,8.65372900381228,-8.35904428151935,5.75772671608329e-16,5.05678607238619e-15,24.8711527101344
"hsa-miR-29a",0.483637220650978,12.4356796377458,8.14540185921111,2.80070301091741e-15,2.35725836752215e-14,23.3106572624681
"hsa-miR-20b",-0.503763941696139,8.37171353204676,-8.12828001204084,3.17506694073972e-15,2.56545408811769e-14,23.1869451325757
"hsa-miR-301",-0.569972399671437,8.34453228696172,-8.02178368236425,6.89795267452929e-15,5.35917861636506e-14,22.4220113166383
"hsa-miR-181a*",-0.361717380163089,6.94613718551692,-7.97416156430858,9.73467075148149e-15,7.28297589555282e-14,22.0825013475246
"hsa-miR-181a",-0.483981326552229,9.81913174894664,-7.90190496915718,1.63691174778004e-14,1.1809149037556e-13,21.5703919390761
"hsa-miR-338",-1.02621703041064,9.47714643196627,-7.88315967944791,1.87208249140375e-14,1.30400228711571e-13,21.4381354485283
"hsa-miR-17-3p",-0.418169922038782,7.79530724190728,-7.72551561157222,5.73383599112254e-14,3.86078290068918e-13,20.3357106489655
"hsa-miR-142-5p",0.471267682638705,7.77402000191696,7.66883847152626,8.53857246559536e-14,5.56384399371053e-13,19.9436816292409
"hsa-miR-139",-0.559286266172792,6.9532954815367,-7.50835208343733,2.60475494082713e-13,1.64425155639712e-12,18.8461493872308
"hsa-miR-219",-1.19845276779738,9.85866413306369,-7.45608454245972,3.7308987201365e-13,2.28376224687143e-12,18.4927323726897
"hsa-miR-124a",-1.21964677274724,9.40809898674424,-7.44018851821645,4.16010382052587e-13,2.47159109337125e-12,18.3856435181018
"hsa-miR-193a",0.466832873227968,7.58957562503439,7.42073420061861,4.75197658569704e-13,2.74256934374515e-12,18.2548344621237
"hsa-miR-30a-3p",0.320277845094091,7.20948078765124,7.27937743199725,1.23908117069905e-12,6.95262212447798e-12,17.3127158325786
"hsa-miR-223",0.647759032023215,9.91546064790467,7.04121400358494,6.02782842680535e-12,3.29086849247211e-11,15.7589691506331
"hsa-miR-142-3p",0.581969788404015,9.46250899640881,6.96788970109858,9.72873382826518e-12,5.17159008765675e-11,15.289197991404
