"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-181d",0.744108603526538,8.86801081646179,11.1664369475541,1.89012968024357e-24,3.81806195409201e-22,44.4954556554514
"hsa-miR-181c",0.710077968041313,8.19336748802326,9.93249666116243,2.7293390842336e-20,2.75663247507594e-18,34.9955659227548
"hsa-miR-142-5p",-0.577854700292151,7.93318278356811,-8.49813878168652,9.10104948669835e-16,6.12803998771022e-14,24.6912195308378
"hsa-miR-21",-0.852696211054502,14.4484336121927,-7.70213363151145,1.95284712174044e-13,9.86187796478924e-12,19.3957838351616
"hsa-miR-142-3p",-0.688293538863812,9.65188730996678,-7.49948603776392,7.26256414936798e-13,2.93407591634466e-11,18.102630191012
"hsa-miR-33",0.497838800054894,7.44879021441196,7.201882681029,4.79349540212799e-12,1.61381011871642e-10,16.2466661450955
"hsa-miR-22",-0.499663816476113,11.6524946939037,-7.06960536249928,1.09091184485961e-11,3.14805989516631e-10,15.4387148068657
"hsa-miR-223",-0.70578270663899,10.1996417726279,-7.01318419893523,1.54438565851876e-11,3.89957378775987e-10,15.0973454003354
"hsa-miR-193a",-0.500296887029409,7.72079667468771,-6.65051290571351,1.37775680987628e-10,2.79673680056211e-09,12.9506453536848
"hsa-miR-17-5p",0.443090079120129,8.89237489855482,6.64968564730842,1.38452316859511e-10,2.79673680056211e-09,12.945844641717
"hsa-let-7i",0.458135025427373,10.6768513749369,6.41108215598899,5.58641253834737e-10,1.0258684843147e-08,11.5798990725305
"hsa-miR-30c",0.411142733955501,9.21499805529236,5.97750458754633,6.41094676709939e-09,1.04641859214698e-07,9.19594349697032
"hsa-miR-20a",0.491233486086472,9.85417799752492,5.96852421887294,6.7343770781736e-09,1.04641859214698e-07,9.14794253860563
"hsa-miR-125a",0.377446672462311,10.719294558588,5.83015805258225,1.42765628712789e-08,2.05990407142739e-07,8.41558358959683
"hsa-miR-181a",0.404012049826433,9.63616529913289,5.71153471442463,2.69051399286635e-08,3.2276774550085e-07,7.79863047171599
"hsa-miR-30a-3p",0.2973212824647,7.2599399749701,5.71143983059214,2.6918675820028e-08,3.2276774550085e-07,7.79814105660135
"hsa-miR-106a",0.414258616087794,9.66535572425581,5.70973079896803,2.71636221461112e-08,3.2276774550085e-07,7.78932691289977
"hsa-miR-125b",0.458237516735212,13.3109243103488,5.62295975108734,4.29100368316358e-08,4.76231615796681e-07,7.34461051065264
"hsa-miR-181b",0.352981280238186,9.80339793918605,5.61475319984819,4.47940628719651e-08,4.76231615796681e-07,7.30283538612938
"hsa-miR-195",0.546824685505667,11.1646375354718,5.44031965156245,1.10403496880092e-07,1.11507531848893e-06,6.42664609267218
"hsa-miR-182",0.866582929323908,7.7233898820897,5.39407830911215,1.39719298975569e-07,1.34396659014595e-06,6.19817042919207
"hsa-miR-214",-0.715934572149588,7.72595318054817,-5.33572595919376,1.87655972326591e-07,1.72302301863507e-06,5.91214869326374
"hsa-miR-30a-5p",0.434955204048745,11.0100385384419,5.29183624472641,2.33890512183619e-07,2.05416884613439e-06,5.69871265462525
"hsa-miR-34c",-0.365261366595367,6.28412834042193,-5.26034932277381,2.73689874953211e-07,2.30355644752286e-06,5.54649224923914
"hsa-miR-204",0.783172834486548,8.936549698299,5.246583063416,2.93087839641194e-07,2.36814974430085e-06,5.48017778954106
"hsa-miR-149",0.493857269085552,8.83310817386379,5.19421570113163,3.79819226972833e-07,2.95090322494278e-06,5.2292379576151
"hsa-miR-199a",-0.588265344218067,7.0683896261495,-5.15997789968976,4.49479000936249e-07,3.36276882181935e-06,5.06630986592873
"hsa-miR-183",0.436489465776932,6.4212459910897,5.02097364567783,8.82604822506426e-07,6.36736336236779e-06,4.41412770479119
"hsa-miR-199a*",-0.729072531560369,7.93268948476412,-4.93212314626797,1.34839473633211e-06,9.39226678410642e-06,4.00514439589969
"hsa-miR-146b",-0.412549544950465,8.22566342313621,-4.92057181286785,1.42415300288772e-06,9.58929688611067e-06,3.95242838417057
"hsa-miR-15a",0.325863119543522,9.52898314334219,4.80625312453436,2.43300680322863e-06,1.58537862661994e-05,3.43640891442308
"hsa-miR-20b",0.326775481956386,8.21697391694352,4.59782473637341,6.29640352373594e-06,3.97460472435831e-05,2.52246709981197
"hsa-miR-29a",-0.283538250213629,12.5281828930897,-4.44647140643161,1.22986009759094e-05,7.52823453676877e-05,1.88087013904184
"hsa-miR-302c*",-0.093865802489427,6.18552909986711,-4.40129929089848,1.49670236078819e-05,8.89217284938865e-05,1.69302510481721
"hsa-miR-367",-0.0549037824654128,5.9627587358505,-4.38220419669375,1.62546017247544e-05,9.38122728114394e-05,1.61412622944684
"hsa-miR-198",-0.379907590026539,7.55109031534884,-4.32943902510239,2.03877383009546e-05,0.000114397864910912,1.39767713393534
"hsa-miR-210",-0.484513213952976,9.31645865771096,-4.2623387330777,2.71093069910526e-05,0.000148002162491692,1.12576910067358
"hsa-miR-106b",0.307850555499293,10.6593469503887,4.22735017609884,3.14074938002275e-05,0.000166955624938051,0.985478499960147
"hsa-miR-185",-0.207678030991858,8.67668731297342,-4.20452115070684,3.45548393510685e-05,0.000178976347408099,0.894496267845195
"hsa-miR-126*",0.233196255286846,6.73825824444186,4.0845454207446,5.66919588198222e-05,0.000286294392040102,0.423565849901278
