"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-204",1.7874683039412,8.4735781738363,13.2128433706793,2.56666576018034e-31,5.18466483556429e-29,60.1047668410313
"hsa-miR-221",0.928114373688003,7.54681672913523,11.8448245017629,1.6190739719592e-26,1.63526471167879e-24,49.1063007155156
"hsa-miR-222",1.36658445465146,9.26729239448399,11.7694490078254,2.94621718926791e-26,1.98378624077373e-24,48.5109401051322
"hsa-miR-27a",0.762800380193831,10.025435169032,11.3440391634449,8.43702525352337e-25,4.2606977530293e-23,45.1756926020021
"hsa-miR-219",-1.69214012243258,9.87603531500356,-11.0459493644254,8.62341659336143e-24,3.48386030371802e-22,42.8657198063199
"hsa-miR-338",-1.38770729374751,9.5234073596548,-10.6209108800026,2.27596806362421e-22,7.66242581420151e-21,39.61454875034
"hsa-miR-34a",1.12522533463646,9.78086525582918,9.89068242175889,5.54658748916975e-20,1.60058667544613e-18,34.1602368272298
"hsa-miR-128b",-0.703883058862936,7.74807508560854,-9.62428489553125,3.93936124930767e-19,9.94688715450186e-18,32.2163919406827
"hsa-miR-23a",0.637534462442112,10.0377285898327,9.38387627874208,2.25981430119265e-18,5.07202765378794e-17,30.4851981708546
"hsa-miR-128a",-0.560980990948597,7.32652539546619,-8.94561287644865,5.15067404092854e-17,1.04043615626756e-15,27.3891322911026
"hsa-miR-30a-3p",0.441921359531321,7.19956485426335,8.78906662130834,1.54358491595833e-16,2.59563928880323e-15,26.3030211377493
"hsa-miR-138",-0.684363067945964,6.67102594133452,-8.78153023119505,1.62690848904446e-16,2.59563928880323e-15,26.2510069909539
"hsa-miR-30a-5p",0.660892323520176,10.9146944539786,8.77774192665987,1.67046092843772e-16,2.59563928880323e-15,26.2248706976053
"hsa-miR-139",-0.680892924904044,7.01714921470107,-8.56757572377331,7.16248145513625e-16,1.03344375281252e-14,24.7850591858701
"hsa-miR-124a",-1.45502916265126,9.56262121717794,-8.17106394526368,1.05710357176061e-14,1.37616571442278e-13,22.1250698552951
"hsa-miR-342",-0.404285374900438,9.25310551868327,-8.16648179509075,1.09003224904774e-14,1.37616571442278e-13,22.0947776065244
"hsa-miR-155",0.683238291321718,8.31439407395018,7.90833317359158,6.03618123176632e-14,7.17240358127528e-13,20.4053052943215
"hsa-miR-152",0.566149521840885,7.63718147677224,7.5543810291179,5.97250578936052e-13,6.70247871917125e-12,18.1454657825505
"hsa-miR-340",-0.323923734507502,6.66671483835231,-7.51346364278906,7.75155604350803e-13,8.24112800415064e-12,17.8885995185256
"hsa-miR-34b",0.578915315662607,7.6321392520427,6.79066927476113,6.6555116944056e-11,6.72206681134966e-10,13.509515692083
"hsa-miR-10b",-1.05496765122978,8.93290963049466,-6.73816764615616,9.0897257603029e-11,8.74345049324374e-10,13.2035942701813
"hsa-miR-137",-0.594430051204996,6.6237446541637,-6.68869550886215,1.21745447234897e-10,1.11784456097496e-09,12.9168932679169
"hsa-miR-125a",0.370328190065086,10.7356172702527,6.32977768551473,9.69744796008061e-10,8.51688907798384e-09,10.8834286930887
"hsa-miR-330",-0.270353245753133,6.61889127229182,-6.24050844720551,1.60462832262666e-09,1.35056217154411e-08,10.3906609570367
