"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-181c",-0.713370305729708,8.10422636397107,-8.43469909040889,3.05882749107556e-15,6.17883153197263e-13,23.7357693725646
"hsa-miR-128b",-0.732416329861897,7.42041925884711,-7.74059644473385,2.70208144068317e-13,1.8482771545976e-11,19.3200315329697
"hsa-miR-21",1.06186156216561,14.4834001080992,7.73809736331703,2.74496607118455e-13,1.8482771545976e-11,19.3045337809407
"hsa-miR-128a",-0.587685763973993,7.05352723141736,-7.66145869761972,4.4425952746985e-13,2.24351061372274e-11,18.8307356377894
"hsa-miR-223",0.857616995811698,10.2360628610537,7.53553430501442,9.74053561130829e-13,3.93517638696855e-11,18.0584923296736
"hsa-miR-181d",-0.559414535836337,8.70851388177686,-6.9647251595218,3.09895030154743e-11,1.04331326818763e-09,14.6601325842635
"hsa-miR-139",-0.67524446687029,6.87915127071074,-6.5779614032229,2.93014515334079e-10,8.45556172821198e-09,12.4588797664318
"hsa-miR-124a",-1.42897629522106,9.2286744135,-6.37055954194403,9.44169263784296e-10,2.38402739105535e-08,11.3144338949873
"hsa-miR-155",0.612051130651112,8.72210025194628,6.18588465996994,2.62016816535036e-09,5.4290452677409e-08,10.3174178809882
"hsa-miR-33",-0.494673717547619,7.38437051916942,-6.18123657113175,2.68764617214896e-09,5.4290452677409e-08,10.292597069056
"hsa-miR-129",-0.442464633546194,6.6585838618595,-6.1202655853035,3.74716146326312e-09,6.88115105071956e-08,9.96826920847601
"hsa-miR-222",0.853422572071786,10.0444120624628,6.09295283108954,4.34549778816922e-09,7.31492127675151e-08,9.82374363251199
"hsa-miR-30c",-0.498769465143583,9.19349280794628,-6.06342277984929,5.09773639589691e-09,7.92109809208596e-08,9.66801831716008
"hsa-miR-331",-0.356308204049002,9.83388083377686,-5.59043119841837,6.1055353958351e-08,8.80941535684778e-07,7.25117362391648
"hsa-miR-149",-0.625971626927543,8.8167102984876,-5.54489508258116,7.69581737379802e-08,1.0363700730048e-06,7.02639325538
"hsa-miR-301",-0.500482168856951,8.15609041771901,-5.34232602896598,2.11963013260902e-07,2.67603304241889e-06,6.04381579104228
"hsa-miR-101",-0.476387359360368,10.1579178177521,-5.31681159991558,2.40345622154723e-07,2.85587151030906e-06,5.92209125455462
"hsa-miR-181a",-0.448438422417608,9.60039315016942,-5.18353670352153,4.60043985631867e-07,4.97796680940233e-06,5.29377984998061
"hsa-miR-137",-0.533981915508276,6.6660226943719,-5.17854326007804,4.71260916125414e-07,4.97796680940233e-06,5.27048574620266
"hsa-miR-214",0.878667796732108,7.75983709904132,5.16924133845825,4.92868000930924e-07,4.97796680940233e-06,5.22714072633644
"hsa-miR-142-5p",0.438632686499584,8.05556634403719,5.10635235314206,6.66316297004946e-07,6.40932819023805e-06,4.93573071115412
"hsa-miR-30a-3p",-0.294086515147543,7.22099474335537,-5.09165677417868,7.14675848006532e-07,6.56202369533271e-06,4.86804874366647
"hsa-miR-324-5p",-0.314509907851252,7.92658356662397,-5.01549310245427,1.02510779983765e-06,8.86367879786748e-06,4.51979349868685
"hsa-miR-210",0.703215452045702,9.30125519184297,5.00976828407224,1.05311035222188e-06,8.86367879786748e-06,4.49378868061859
"hsa-miR-181b",-0.371879208333533,9.76514854860744,-4.8923365143714,1.82119261219512e-06,1.42441503042567e-05,3.96569770435788
"hsa-miR-198",0.530761310365754,7.54641569866529,4.89089060311358,1.83340548470631e-06,1.42441503042567e-05,3.95925921464567
"hsa-miR-188",0.524794114756459,7.67015588243388,4.83309329437139,2.39198079769206e-06,1.78955600419924e-05,3.70317337290649
"hsa-miR-132",-0.339987029531065,7.90862670822314,-4.76009921223712,3.33538419171353e-06,2.40624145259333e-05,3.3833402912409
"hsa-let-7c",-0.406139725487826,12.7529745150785,-4.72977998485918,3.82500120162268e-06,2.66431118181993e-05,3.25167662869694
"hsa-miR-187",0.106622036004801,5.98462108053719,4.63417636258122,5.86563217864579e-06,3.94952566695483e-05,2.841095695211
"hsa-miR-199a*",0.851991689895912,7.98222837982231,4.5932502772244,7.02943595685881e-06,4.4689745904126e-05,2.66747566868717
"hsa-miR-221",0.513029405460696,8.03179206840083,4.59163787928937,7.07956370758432e-06,4.4689745904126e-05,2.66066184927069
"hsa-miR-199a",0.644953229062348,7.12328573484711,4.50855594796773,1.01835496084466e-05,6.2335667300188e-05,2.31229063575324
"hsa-miR-363",-0.451737003195579,8.16365599864876,-4.45917139088479,1.26097304700682e-05,7.48561980061099e-05,2.10776112070757
"hsa-miR-142-3p",0.496994205121242,9.80660651735124,4.45262764850609,1.29701333178903e-05,7.48561980061099e-05,2.08080287661425
"hsa-miR-125b",-0.443167007471335,13.2473588797314,-4.40903696720114,1.56357650362637e-05,8.65688224842508e-05,1.90208008424968
"hsa-miR-202",0.368218150154297,8.53016359691322,4.40575183473769,1.5856665504541e-05,8.65688224842508e-05,1.88867151742084
"hsa-miR-373*",0.176394289437912,6.39275699073967,4.25266614491754,3.02164047216413e-05,0.000160624046151883,1.27331852176828
"hsa-miR-30a-5p",-0.401456548382241,10.9429611221116,-4.22916465697167,3.33084997084471e-05,0.000170050275043939,1.18050443579278
"hsa-miR-107",-0.239972536896589,10.8780840225744,-4.22653070506915,3.36733217908791e-05,0.000170050275043939,1.17012981525431
"hsa-miR-146b",0.427208203465499,8.27297685023554,4.18147403014545,4.05377458575943e-05,0.000199408433281874,0.9935242677623
"hsa-miR-338",-0.803955509690365,9.42343023080992,-4.17597843823855,4.14611593952411e-05,0.000199408433281874,0.972095467271179
"hsa-miR-330",-0.234502970481679,6.72877601545455,-4.08101109147658,6.09676636793255e-05,0.000286406234028459,0.605653755645291
"hsa-miR-302c*",0.109662859156014,6.19191705233471,4.05976512151842,6.63977195470518e-05,0.000304825894284192,0.524677375972641
"hsa-miR-148b",-0.207337855753848,7.53028057674793,-4.04905273113033,6.93072806604264e-05,0.000311112682075692,0.483988157310095
"hsa-miR-218",-0.354327472414831,6.69288120154545,-4.01205481013423,8.0317970472796e-05,0.000352700652945756,0.344179854392484
"hsa-miR-323",-0.20993308428663,6.19594745583884,-3.99116592115199,8.72496719675987e-05,0.000367551233820692,0.265740375315291
"hsa-miR-30e-3p",-0.229114070386065,7.40108357890909,-3.99090743799386,8.73389070465012e-05,0.000367551233820692,0.264771995446428
"hsa-miR-23b",-0.351874801109323,10.5362702978512,-3.93310275124949,0.000109628924949386,0.000451939649791345,0.0495951040147169
"hsa-miR-189",-0.0836154362344628,6.0068674705,-3.92386555727636,0.000113656972058793,0.000459174167117524,0.0154654173377233
"hsa-miR-219",-0.957832963579239,9.83849346314463,-3.91691065707635,0.00011678205658781,0.000462548537857599,-0.0101850340440253
"hsa-miR-103",-0.257869227613188,10.6161498901653,-3.89168823981662,0.000128813196041945,0.000500389723086018,-0.102871918344428
"hsa-miR-125a",-0.296482827937801,10.642858594595,-3.8842333466225,0.000132588449395156,0.0005053371090155,-0.130165979190622
"hsa-miR-135a",-0.496730393378792,6.95816575090083,-3.83772173225345,0.000158617958583324,0.000593348659885769,-0.299411803998788
"hsa-miR-199b",0.362093114791161,6.50595695109917,3.82075254900887,0.000169266573101238,0.000621669959390002,-0.360710084027109
"hsa-miR-27b",-0.340900482984862,9.21311731707025,-3.79766589378562,0.000184844287576513,0.000666759751615278,-0.443720230905161
"hsa-miR-195",-0.457779107171675,11.0638238814876,-3.78716309302171,0.000192371265741515,0.000674292285566068,-0.481336335046464
"hsa-miR-140",-0.269122094210335,8.2826454605,-3.785473768012,0.000193608676053623,0.000674292285566068,-0.487378074229294
"hsa-miR-29c",-0.339665337527389,10.2029849317397,-3.7790035608871,0.000198417989729521,0.000679329388565479,-0.510496131074259
"hsa-miR-22",0.287549798196698,11.7905376236653,3.55934486901746,0.000447558283051227,0.00150677955293913,-1.27436618733713
"hsa-miR-30d",-0.224978878207637,10.1835646474008,-3.52157875135584,0.000512758867782359,0.00169798838183666,-1.40156195672798
"hsa-miR-342",-0.226771166675157,9.21034423494215,-3.4139184998205,0.000750876883369483,0.00244640532968767,-1.75742623683396
"hsa-miR-194",-0.129800948787778,6.62958245042562,-3.34352083892841,0.000958745884129886,0.00307407410467043,-1.98469694479491
"hsa-miR-134",0.230908114118546,6.99983590449587,3.30989692739357,0.00107593047305365,0.00339590555557557,-2.09172533677491
"hsa-miR-30b",-0.236841510171829,7.79910741326033,-3.30156762403205,0.00110695223109423,0.00341160666283065,-2.11808579033053
"hsa-miR-370",0.675932466547549,9.97866737790496,3.29952565359924,0.00111468336508328,0.00341160666283065,-2.1245389292872
"hsa-miR-324-3p",0.272431214591311,9.70784268597934,3.24365308750161,0.00134675462023602,0.00406036467593545,-2.29969312718401
"hsa-miR-193a",0.279915763333903,7.86182384464876,3.17859750734428,0.00167316721871746,0.00497029085560186,-2.50017832613727
"hsa-miR-26a",-0.341521129660178,12.2316530424339,-3.16254214787909,0.0017642901418068,0.00512666387982611,-2.54908269119676
"hsa-miR-20b",-0.259772343519298,8.15188514142562,-3.16043802634781,0.00177656669102885,0.00512666387982611,-2.55547492468228
"hsa-miR-181a*",-0.191328488332784,6.8250748958719,-3.14651461849347,0.00185981526714679,0.00529130540793876,-2.59767495137685
