"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-222",-1.77718927195559,9.51602190326871,-14.111729154806,7.15691888982857e-35,1.44569761574537e-32,68.209855856774
"hsa-miR-221",-1.14078894833162,7.68039621819388,-12.3347852191348,1.90659296591751e-28,1.92565889557668e-26,53.4776355566971
"hsa-miR-128b",0.945618252484326,7.60381082937075,12.0729566562816,1.61020761560548e-27,1.08420646117436e-25,51.354858009888
"hsa-miR-128a",0.766894520701531,7.20447109066327,11.7375518587688,2.42310964639637e-26,1.22367037143017e-24,48.6581757441605
"hsa-miR-181d",0.786764196757682,8.87864671655442,11.3374349209578,5.93948464764211e-25,2.39955179764741e-23,45.47751355356
"hsa-miR-34a",-1.26485176421836,9.87968537729592,-11.166439205257,2.30162844288933e-24,7.7488157577274e-23,44.1312221264379
"hsa-miR-17-5p",0.828520424176311,9.06647749468707,11.0667920043634,5.04960859745868e-24,1.45717276669522e-22,43.3504695986443
"hsa-miR-142-5p",-0.783430519928336,7.84456358047279,-11.0339194380512,6.53971352383949e-24,1.65127766476947e-22,43.0935354475997
"hsa-miR-22",-0.821301537667685,11.5088211773435,-11.0013813868374,8.44473279058426e-24,1.89537335966447e-22,42.8395266888082
"hsa-miR-155",-0.972812045934991,8.48375971087755,-10.923009754924,1.56122833267478e-23,3.15368123200306e-22,42.2290011314351
"hsa-miR-27a",-0.707103427148517,10.0121367571361,-10.6605518336822,1.20638484340585e-22,2.21536125789075e-21,40.198017674473
"hsa-miR-146b",-0.872472419862047,8.01646904111225,-10.3744563970238,1.09378549623178e-21,1.84120558532349e-20,38.0091393099234
"hsa-miR-181a",0.733450241302728,9.78466162045578,10.2622191813631,2.57863481093671e-21,3.73025046495821e-20,37.1579092939475
"hsa-miR-223",-1.09990969102147,10.0247490198946,-10.2618793890831,2.58532210442648e-21,3.73025046495821e-20,37.1553388272879
"hsa-miR-106a",0.825859861135818,9.85201165938095,10.0550907521694,1.24127447182937e-20,1.67158295539688e-19,35.598565312642
"hsa-miR-142-3p",-0.948184236706199,9.53932964382313,-10.013383704051,1.70022381398206e-20,2.14653256515235e-19,35.2864384799055
"hsa-miR-181c",0.757578849483439,8.20668385027551,10.0006541198061,1.87135727511977e-20,2.19763961048107e-19,35.1912993999474
"hsa-miR-21",-1.12384438965464,14.3326718169864,-9.9946241936309,1.95829272221086e-20,2.19763961048107e-19,35.1462533305318
"hsa-miR-193a",-0.715111607981292,7.62690908491837,-9.86274532198301,5.26948324398664e-20,5.6022927120279e-19,34.164430655059
