"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-30a-3p",-0.438686592214177,7.14106540303604,-8.22622558178014,1.64485819378429e-14,3.32261355144427e-12,22.1062779428518
"hsa-miR-34a",-0.975850753993662,9.57787387628829,-7.60505213739307,8.04765888832496e-13,5.54129578886524e-11,18.2744187877837
"hsa-miR-30a-5p",-0.627393667853694,10.8162348335495,-7.60140362124335,8.22964721118601e-13,5.54129578886524e-11,18.2524179659166
"hsa-miR-19b",0.646767175293666,10.8116642294279,7.46125535377324,1.93399681732364e-12,9.76668392748436e-11,17.4120264621135
"hsa-miR-152",-0.616917864407483,7.58326232184234,-7.09721425189211,1.7051182669686e-11,6.88867779855316e-10,15.2734735912629
"hsa-miR-204",-1.05219532361899,7.96044776064414,-7.05357970087768,2.20391371580248e-11,7.41984284320168e-10,15.021601717677
"hsa-miR-22",-0.533751739471034,11.2745993868108,-7.00675396803457,2.8995325968363e-11,8.1029061145927e-10,14.7524019380855
"hsa-miR-29a",-0.604694651718354,12.3102585572072,-6.98939187961846,3.20907172855157e-11,8.1029061145927e-10,14.6528771810674
"hsa-miR-221",-0.627759542870947,7.31155778237838,-6.94727785501624,4.10164725486746e-11,9.20591939425809e-10,14.4121215343299
"hsa-miR-19a",0.618240810019815,9.32056271244595,6.88967588670122,5.72929154505272e-11,1.15731689210065e-09,14.0843373144023
"hsa-miR-34b",-0.714286236832556,7.60895887878829,-6.81565767100919,8.78062288716316e-11,1.61244165746087e-09,13.6657287403843
"hsa-miR-130b",0.702453741657347,8.7868650269009,6.76834276404928,1.15188666079649e-10,1.86475232002545e-09,13.3996844821516
"hsa-miR-17-5p",0.604238823842749,9.27756597076126,6.76117934013389,1.20008812674905e-10,1.86475232002545e-09,13.3595114704622
"hsa-miR-222",-0.923766699883831,8.92067310976126,-6.71893130914216,1.5274791356884e-10,2.20393418149327e-09,13.1231505670042
"hsa-miR-106a",0.625071933216052,10.0537027176171,6.62128625896933,2.65788721472177e-10,3.57928811582531e-09,12.5806225831222
"hsa-miR-20a",0.658224797563832,10.2251950120405,6.56508129016056,3.64754484384233e-10,4.60502536535094e-09,12.2707468760976
"hsa-miR-150",-0.188945212049128,6.26539241757658,-6.2735423954181,1.83216199442066e-09,2.1770395463116e-08,10.6923479796159
"hsa-miR-29c",-0.589870882545997,10.0593269098919,-6.1978504615887,2.76418045207895e-09,3.10202472955526e-08,10.2906792255697
"hsa-miR-29b",-0.656228656330198,10.9790688006712,-6.18592528196185,2.94832296677951e-09,3.13453283836558e-08,10.2277088278895
"hsa-miR-193a",-0.435195844647409,7.41165879646396,-5.93121629132106,1.14606552159815e-08,1.15752617681414e-07,8.90339404925222
"hsa-miR-18a",0.421528713743475,7.99608736514865,5.56662539116684,7.47631816404955e-08,7.16059312326292e-07,7.07880576257357
"hsa-miR-17-3p",0.432129682769586,7.93848237421622,5.55823006530241,7.79866577781111e-08,7.16059312326292e-07,7.03780881148057
"hsa-miR-27a",-0.481053006474896,9.81872086852252,-5.36086550653529,2.07669800906924e-07,1.8238825992695e-06,6.08758707310154
"hsa-miR-340",0.276847910703896,6.7267110166982,5.26635534177414,3.28992266467596e-07,2.76901824276893e-06,5.64191481630232
"hsa-miR-20b",0.423101231847557,8.58151814532883,5.08906080714091,7.67561682617328e-07,6.20189839554801e-06,4.82256552152514
"hsa-miR-30c",-0.379128187137507,9.28310815717117,-5.03151115187514,1.00595326825334e-06,7.81548308412208e-06,4.56136065157214
"hsa-miR-10b",0.934847354172156,9.11559657256306,4.99957742522412,1.16771722436776e-06,8.73625478971436e-06,4.41743823301727
"hsa-miR-23a",-0.411554371518443,9.86859766213514,-4.94411942873879,1.51038241655852e-06,1.08963302908864e-05,4.16923101614336
"hsa-miR-200a",-0.138559209164891,6.02659073787838,-4.9280069526887,1.62698195348712e-06,1.13327708484276e-05,4.09753336440009
"hsa-miR-146b",-0.445264216396576,7.72104094535135,-4.90510231332449,1.8078381695233e-06,1.21727770081235e-05,3.99593487237398
"hsa-miR-339",-0.383730681708042,7.91467256895495,-4.50964821583187,1.05299553513875e-05,6.86145477735575e-05,2.30274696442626
"hsa-miR-142-5p",-0.344797833428782,7.55821821238739,-4.49246529141191,1.13392815490858e-05,7.15792147786042e-05,2.2318353916975
"hsa-miR-125a",-0.289364345540593,10.6566332013423,-4.39387991231786,1.72704245966553e-05,0.000105715932379526,1.82935715043328
"hsa-miR-200b",-0.143538000345139,6.10367181011261,-4.38055998576016,1.82706927588361e-05,0.000108549409920144,1.77555174420759
"hsa-miR-106b",0.338561720744078,10.9642673621306,4.27364762118121,2.85743648582171e-05,0.000164914905753138,1.34867216677249
"hsa-miR-148a",-0.602263009178196,8.09860463244144,-4.19689987861277,3.91873116802048e-05,0.000219884359983371,1.04774648633658
"hsa-miR-10a",-0.435334017676779,6.84000940794595,-4.10921740595758,5.59153865376389e-05,0.000305267785962245,0.7096425923235
"hsa-miR-142-3p",-0.451190031584989,9.20573930097748,-4.09408412206978,5.94188974592498e-05,0.000315858349651801,0.651907470017064
"hsa-miR-181a*",0.263901364992607,7.11205927877928,4.06910838843722,6.56629512867938e-05,0.00034010041435724,0.557022642945494
"hsa-miR-132",-0.299756640485377,7.94421185208108,-4.04768023278715,7.15138100289249e-05,0.00036114474064607,0.476013591699668
