"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-204",1.13546041157127,8.52221962151713,9.07956492946478,2.23049608632093e-18,4.50560209436827e-16,30.8153308554349
"hsa-miR-219",-1.11447629465204,9.85866413306369,-7.00372555698868,7.70342587515551e-12,7.78046013390706e-10,16.0203871151774
"hsa-miR-338",-0.869791928466611,9.47714643196627,-6.68554356129149,5.92099565952522e-11,3.98680374408031e-09,14.0264691324415
"hsa-miR-30a-3p",0.283634888727904,7.20948078765124,6.48644663892073,2.04071955783765e-10,1.03056337670801e-08,12.8185249786779
"hsa-miR-330",-0.252053659803789,6.66973660277565,-6.4242679906356,2.98483920763314e-10,1.20587503988379e-08,12.4476362043188
"hsa-miR-30a-5p",0.426589976537253,10.9277738682877,6.27236462170733,7.46308669926388e-10,2.51257252208551e-08,11.5544017633557
"hsa-let-7i",0.384698551756413,10.6370344421435,6.14601050752176,1.57780770281467e-09,4.55310222812233e-08,10.825412997151
"hsa-miR-138",-0.395112164689444,6.62369261421362,-6.10277530174784,2.03265642874124e-09,5.13245748257162e-08,10.5789149879354
"hsa-miR-125a",0.308379990518734,10.692696429883,5.86840048129264,7.82156229045337e-09,1.75550620296842e-07,9.2690331437036
"hsa-miR-27a",0.361996307315248,10.1350080908729,5.82440960199447,1.00237512392991e-08,2.02479775033842e-07,9.02817376275091
"hsa-miR-137",-0.426919491161216,6.64330734198144,-5.58339654418048,3.79616535073905e-08,6.9711400077208e-07,7.73693699253149
"hsa-miR-181d",0.334248628585863,9.01391549521719,5.55543684953057,4.41691998683798e-08,7.4351486445106e-07,7.59026792610264
"hsa-miR-218",-0.354732384763338,6.66778889858007,-5.36022579950111,1.24929063251738e-07,1.94120544437315e-06,6.58453060082904
"hsa-miR-342",-0.244693364066247,9.23331922677781,-5.32294722992326,1.51829776379719e-07,2.1906867734788e-06,6.39612723369077
"hsa-miR-126*",0.223518857765365,6.69791579094577,5.15306557088548,3.63942605705635e-07,4.90109375683589e-06,5.55253090453406
"hsa-miR-139",-0.369980213662673,6.9532954815367,-4.90281166125766,1.26309390407612e-06,1.5946560538961e-05,4.35496327455802
"hsa-miR-124a",-0.765690231737885,9.40809898674424,-4.60262330216573,5.24367431972918e-06,6.23071889756055e-05,2.99035536244006
"hsa-miR-23a",0.275711667413187,10.1487562968592,4.47019732055961,9.59041736072627e-06,0.000107625794825928,2.41361329975296
"hsa-miR-30c",0.256033869507355,9.2439090354377,4.37619536884236,1.45890744277319e-05,0.000155104896547466,2.013681393909
"hsa-miR-195",0.358650626222637,11.1899566881841,4.30957797052447,1.95505343158613e-05,0.000197460396590199,1.73503934554433
"hsa-miR-181c",0.276239502725234,8.36355917414784,4.18614662390701,3.32926548022931e-05,0.000320243631907771,1.22929349376152
"hsa-miR-34c",-0.228745502988128,6.25937390278958,-4.08454367736047,5.10960000122401e-05,0.000469154181930568,0.8233019319027
"hsa-let-7e",0.244251180678955,11.663572145024,4.06448984535648,5.55456170604646e-05,0.000487835419400602,0.744274461402162
"hsa-miR-133b",-0.119926160283016,6.24668993478065,-3.76740846287002,0.000183722852537805,0.00147516002827431,-0.383509641474465
"hsa-miR-15a",0.212194068011177,9.54518191682699,3.76120659458978,0.000188215052835439,0.00147516002827431,-0.406191757051782
"hsa-miR-221",0.314754410553806,7.77122214424667,3.75895409926766,0.000189872082847189,0.00147516002827431,-0.414421055207342
"hsa-miR-26b",0.242480519884488,8.96439913247588,3.73475311406349,0.000208564493484601,0.00151150914770776,-0.502542603203455
"hsa-miR-34a",0.382404645759099,10.0523472484181,3.73357645146788,0.000209516119484244,0.00151150914770776,-0.506813361947271
"hsa-miR-182",0.504418913688121,7.80986000183188,3.63232799573153,0.000308587488806196,0.0021494714737535,-0.869516197903339
"hsa-miR-125b",0.234015876359825,13.3803553564481,3.61490926356367,0.00032954720194228,0.00221895115974469,-0.930960300990458
"hsa-miR-128b",-0.264346834428005,7.59646378527711,-3.59080736125791,0.000360759153012722,0.00228553807074959,-1.01551578482114
"hsa-miR-222",0.423210087412448,9.62687740339051,3.58984187197507,0.00036206543695043,0.00228553807074959,-1.01889175018216
"hsa-miR-141",-0.120075892995153,6.23871168988535,-3.49271113636197,0.000518678530715001,0.00317494130922516,-1.35410133740685
"hsa-miR-185",-0.151764284421276,8.67834188060433,-3.45073194356183,0.000604311468564688,0.00359032107794315,-1.49626156173212
"hsa-miR-129",-0.188136443608644,6.67101113084155,-3.3715646939395,0.00080276967690687,0.00463312784957679,-1.75988535656885
"hsa-miR-200a*",-0.111898340028318,6.51288972729988,-3.35522441421437,0.000850648333371327,0.004773082315028,-1.813568891828
"hsa-miR-128a",-0.203104515824188,7.20020502127571,-3.33500869538667,0.000913557090032672,0.00498752789693513,-1.87963890410926
