"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-181d",0.717181883632556,9.01391549521719,13.9141834107262,1.15335135276636e-37,2.32976973258805e-35,74.4328270970313
"hsa-miR-181c",0.728622966591187,8.36355917414784,12.7645085440819,1.13836733199412e-32,1.14975100531406e-30,62.993081022959
"hsa-miR-142-5p",-0.622472230666352,7.77402000191696,-11.1350932879721,5.4773098936094e-26,3.68805532836366e-24,47.7063631432697
"hsa-miR-223",-0.888573175090333,9.91546064790467,-10.6079385859636,6.09576841364219e-24,3.07836304888931e-22,43.0309812823684
"hsa-miR-21",-1.00276822011647,14.1546219920128,-10.2996414820144,8.97292212713614e-23,3.625060539363e-21,40.3644614059934
"hsa-miR-22",-0.570796811673389,11.4920878905065,-9.76355835704909,8.51418743118019e-21,2.86644310183066e-19,35.8534681244041
"hsa-miR-142-3p",-0.741147588687401,9.46250899640881,-9.59608051255601,3.41474019399178e-20,9.85396455980485e-19,34.4781706333246
"hsa-miR-222",-1.02498071746957,9.62687740339051,-9.5518810518445,4.91328480241778e-20,1.24060441261049e-18,34.117985420475
"hsa-miR-33",0.548577608947406,7.594520921847,9.39214734905088,1.81241190010401e-19,4.06785782023345e-18,32.8260842015465
"hsa-miR-181a",0.537643945725506,9.81913174894664,9.34254606954182,2.70987141965372e-19,5.47394026770051e-18,32.4280629954724
"hsa-miR-128b",0.61916654783944,7.59646378527711,9.18873352568763,9.34492312712011e-19,1.71606770152569e-17,31.2034086846081
"hsa-miR-214",-0.835711279850993,7.48362198145983,-9.10480018206742,1.82523235635837e-18,3.07247446653659e-17,30.5413165808054
"hsa-miR-128a",0.504561168189215,7.20020502127571,9.04724560134066,2.88137770608099e-18,4.477217666372e-17,30.0898576948549
"hsa-miR-193a",-0.529524267507618,7.58957562503439,-8.96421986483913,5.54710271234418e-18,8.00367677066803e-17,29.4422846413346
"hsa-miR-17-5p",0.536547009672823,9.0558785659241,8.78562446112885,2.23685451964649e-17,3.0122974197906e-16,28.064197793881
"hsa-miR-181b",0.435793830620065,9.93950217406909,8.57876030610209,1.09667760960854e-16,1.38455548213078e-15,26.4938020696503
"hsa-miR-146b",-0.58811080132473,8.01146420694415,-8.54388841674258,1.42985736675979e-16,1.6990069887381e-15,26.2318415485021
"hsa-miR-155",-0.620213707828936,8.50304588096693,-8.43962073321352,3.14584509867009e-16,3.53033727739643e-15,25.4533893735865
"hsa-miR-199a",-0.652121794043019,6.89345832668172,-8.40904034789915,3.95901478058077e-16,4.20905781935429e-15,25.226455336783
"hsa-miR-221",-0.629838044089321,7.77122214424667,-8.07752112303755,4.60025002078248e-15,4.6462525209903e-14,22.8069305918739
"hsa-miR-199a*",-0.819999758370846,7.70763861619459,-8.04848997840488,5.68246992078172e-15,5.46599487618051e-14,22.5986398803742
