"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa-miR-29c",-0.488261664681133,10.0144388539146,-6.30328560641825,6.20202132832746e-10,1.25280830832215e-07,11.9699157816929
"hsa-miR-330",-0.252157210775941,6.66973660277565,-5.24290091426748,2.29901932648172e-07,2.32200951974653e-05,6.25011785061314
"hsa-miR-132",-0.308807093534242,7.87057824573025,-5.06172973477831,5.76615286351386e-07,3.88254292809933e-05,5.36669348344689
"hsa-miR-129",-0.327921278144852,6.67101113084155,-4.91133162402931,1.21174414172533e-06,6.11930791571292e-05,4.6547228995737
"hsa-miR-29b",-0.436490830664166,11.018488098996,-4.7842328475052,2.23650301108903e-06,8.63175694720237e-05,4.06831631393692
"hsa-miR-139",-0.434552834377576,6.9532954815367,-4.74969411858267,2.63559952598698e-06,8.63175694720237e-05,3.91139264753478
"hsa-miR-137",-0.440778711967486,6.64330734198144,-4.72292599128789,2.99120290249587e-06,8.63175694720237e-05,3.79049098090936
"hsa-miR-30c",-0.326177207663605,9.2439090354377,-4.61372523772393,4.98151149806109e-06,0.000125783165326043,3.30377855936213
"hsa-miR-30a-3p",-0.241565843637727,7.20948078765124,-4.4726861570858,9.48352721941681e-06,0.000212852499813577,2.69070390981044
"hsa-miR-124a",-0.892728235352111,9.40809898674424,-4.42564712286777,1.17109224106717e-05,0.000236560632695568,2.49014886060711
"hsa-miR-128b",-0.357166173538917,7.59646378527711,-4.01930798307703,6.69575085488936e-05,0.00122958333880695,0.840051000846931
"hsa-miR-29a",-0.295824967343018,12.4356796377458,-3.99755074409553,7.32155577828797e-05,0.00123246188934514,0.755893601602984
"hsa-miR-30a-5p",-0.329127406646357,10.9277738682877,-3.91046645011498,0.000104265016080924,0.00162011794218051,0.423354700682167
"hsa-miR-373*",0.143020800852977,6.39809587564804,3.81884609714152,0.000150172853438235,0.00208590711062435,0.0809529595713459
"hsa-miR-128a",-0.28011476483598,7.20020502127571,-3.81098770563501,0.000154894092373095,0.00208590711062435,0.0519418371044127
"hsa-miR-218",-0.304445597040403,6.66778889858007,-3.74865096636039,0.000197628459434989,0.00249505930036674,-0.176185501987853
"hsa-miR-219",-0.71791106701399,9.85866413306369,-3.60685301860616,0.000339686745304254,0.00403627779714466,-0.68181469909239
"hsa-miR-23b",-0.273630827077701,10.5353934324516,-3.54560124129125,0.000426909315885307,0.00479087121160178,-0.894495455534217
"hsa-miR-320",0.248222084788416,10.4427537803336,3.50425554627552,0.000497200261725209,0.00528602383518381,-1.03609543780309
"hsa-miR-188",0.297622450083347,7.57894196766732,3.47239636351444,0.000558594313154196,0.00564180256285738,-1.14412544400356
"hsa-miR-338",-0.558652648608883,9.47714643196627,-3.44233521729264,0.000622952145283312,0.00570392382760773,-1.24519481618528
"hsa-miR-189",-0.0660443614979824,6.00580327429272,-3.43878649065568,0.000630990309856621,0.00570392382760773,-1.25707068947966
"hsa-miR-101",-0.262983869850338,10.2467363330045,-3.43079101452297,0.000649456673440484,0.00570392382760773,-1.2837847932037
"hsa-miR-107",-0.157293193338118,10.9020393949631,-3.37118926469898,0.000803841360650367,0.00676566478547393,-1.48104938089716
"hsa-miR-203",-0.0486285264748156,5.88558746140053,-3.35937563370375,0.000838239742138618,0.00677297711648003,-1.5197562713035
"hsa-miR-30e-3p",-0.160821902273411,7.41503919953365,-3.32831310085999,0.000935328788517819,0.00726678520309998,-1.62091048828686
"hsa-miR-331",-0.183474314729841,9.91138410852708,-3.28212217795294,0.0010991642136533,0.00786840329486693,-1.7696642995434
"hsa-let-7c",-0.22218887750166,12.8303839832875,-3.27709107442245,0.00111853261890225,0.00786840329486693,-1.78574611769204
"hsa-miR-21",0.430000978280423,14.1546219920128,3.27424669952698,0.00112962225520367,0.00786840329486693,-1.79482762942054
"hsa-miR-30e-5p",-0.20410713003537,8.44534763027491,-3.24341254556055,0.0012565572914708,0.00839717371269165,-1.89278905474292
